,GD_CEO,GD_Approval,GD_company,CEO Rank
0,Pat Gelsinger,0.99,VMware,1
1,Charles C. Butt,0.99,H E B,2
2,Lynsi Snyder,0.99,In-N-Out Burger,3
3,John Legere,0.99,T-Mobile,4
4,Shantanu Narayen,0.98,Adobe,5
5,Satya Nadella,0.98,Microsoft,6
6,Kevin Sneader,0.98,McKinsey &amp; Company,7
7,Jeff Weiner,0.97,LinkedIn,8
8,Gary S. Guthart ,0.97,Intuitive Surgical,9
9,Hubert Joly,0.97,Best Buy,10
10,Esfand Dinshaw,0.97,Sammons Financial Group,11
11,Manny Maceda,0.97,Bain &amp; Company,12
12,Kevin A. Lobo,0.97,Stryker,13
13,Matt Scantland,0.97,CoverMyMeds,14
14,Cathy Engelbert,0.97,Deloitte,15
15,Brian Halligan,0.96,HubSpot,16
16,Marc Benioff and Keith Block,0.96,Salesforce,17
17,Jen-Hsun Huang,0.96,NVIDIA,18
18,Randy Richardson ,0.96,Vi,19
19,Erhardt Preitauer,0.96,CareSource,20
20,John F. Bergstrom,0.96,Bergstrom Automotive,21
21,Aneel Bhusri,0.96,Workday,22
22,Scott Davis,0.96,FLIK Hospitality Group,23
23,Brad Jackson,0.96,Slalom,24
24,Corey Schiller &amp; Asher Raphael,0.96,Power Home Remodeling,25
25,Chad England,0.95,CR England,26
26,Daniel Springer,0.95,DocuSign,27
27,Todd Graves,0.95,Raising Cane's,28
28,Steven C. Bilt,0.95,Smile Brands,29
29,Aron J. Ain,0.95,Kronos Incorporated,30
30,Bill McDermott ,0.95,SAP,31
31,Tom Linebarger,0.95,Cummins,32
32,Anant Yardi,0.95,Yardi Systems,33
33,Dan Schulman,0.95,PayPal,34
34,Gary C. Kelly,0.95,Southwest Airlines,35
35,Jamie Dimon,0.95,J.P. Morgan,36
36,Jonas Prising,0.95,Manpower,37
37,Scott Scherr,0.95,Ultimate Software,38
38,Robert E. Sulentic,0.95,CBRE,39
39,Chuck Robbins,0.95,Cisco Systems,40
40,David Wadhwani,0.95,AppDynamics,41
41,Craig Jelinek,0.95,Costco Wholesale,42
42,Tim Yaggi,0.95,Pella,43
43,Michael J. Dowling,0.95,Northwell Health,44
44,Mike Roman,0.95,3M,45
45,Sundar Pichai,0.94,Google,46
46, Peter Pisters,0.94,MD Anderson Cancer Center,47
47,Mark Weinberger,0.94,EY,48
48,Bob Quattrocchi,0.94,Northside Hospital,49
49,Akio Toyoda,0.94,Toyota North America,50
50,Joe Gallo,0.94,E. &amp; J. Gallo Winery,51
51,Colleen Wegman,0.94,Wegmans Food Markets,52
52,Pamela M. Nicholson,0.94,Enterprise,53
53,Jean-Pascal Tricoire,0.94,Schneider Electric,54
54,Mark Zuckerberg,0.94,Facebook,55
55,Sajan Pillai,0.94,UST Global,56
56,Joe Margolis,0.94,Extra Space Storage,57
57,Peter Strebel,0.94,Omni Hotels,58
58,Mark S. Hoplamazian,0.93,Hyatt,59
59,Randy Bufford,0.93,Trilogy Health Services,60
60,Tricia Griffith,0.93,Progressive Insurance,61
61,Stephen B. Burke,0.93,NBCUniversal,62
62, Robert Reffkin ,0.93,Compass,63
63,Thomas Buberl,0.93,AXA Advisors,64
64,Francis deSouza ,0.93,Illumina,65
65,Chad Richison,0.93,Paycom,66
66,James P. Gorman,0.92,Morgan Stanley,67
67,Alex Gorsky,0.92,Johnson &amp; Johnson,68
68,Tim Cook,0.92,Apple,69
69,Dan T. Cathy,0.92,Chick-fil-A,70
70,Michael R. Bloomberg,0.92,Bloomberg L.P.,71
71,Lynne Doughtie,0.92,KPMG,72
72,Steve Hockett,0.92,Great Clips,73
73,Robert I. Grossman,0.92,NYU Langone Health,74
74,Bob Faith,0.92,Greystar,75
75,Tim Pierce,0.92,Morrison Healthcare,76
76,Steve Beauchamp,0.92,Paylocity,77
77,Bobby Kutteh,0.92,Crothall Healthcare,78
78,Christopher Nassetta,0.92,Hilton,79
79,Alan D. Schnitzer,0.92,Travelers,80
80,Michael Zuieback,0.92,Discount Tire,81
81,David Overton,0.91,The Cheesecake Factory,82
82,Walt Bettinger II,0.91,Charles Schwab,83
83,Michael Hansen,0.91,Cengage,84
84,Martin Mucci,0.91,Paychex,85
85,Jim Kavanaugh,0.91,World Wide Technology,86
86,Kenneth C. Frazier,0.91,Merck,87
87,John P. Wiehoff,0.91,C.H. Robinson,88
88,John E. Schlifske,0.91,Northwestern Mutual,89
89,"Alfred F. Kelly, Jr.",0.91,Visa Inc.,90
90,"Steven J. Corwin, MD",0.91,NewYork-Presbyterian Hospital,91
91,Ken Burdick,0.91,WellCare,92
92,Dan Bane,0.91,Trader Joe's,93
93,Mark G. Parker,0.91,NIKE,94
94,Pat Bauer,0.9,Heartland Dental,95
95,David Cordani,0.9,Cigna,96
96,Steve Barick,0.9,Highgate Hotels,97
97,Stephen J Squeri,0.9,American Express,98
98,David Baiada,0.9,BAYADA Home Health Care,99
99,Cindy Mi,0.9,VIPKid,100
