Date,Austin - Round Rock,Brownsville - Harlingen,Dallas - Plano - Irving,El Paso,Fort Worth - Arlington,Houston Ð The Woodlands Ð Sugar Land,Laredo,McAllen - Edinburg - Mission,San Antonio Ð New Braunfels
Jul-78,#N/A,#N/A,#N/A,#N/A,#N/A,86.5,#N/A,#N/A,#N/A
Aug-78,#N/A,#N/A,#N/A,#N/A,#N/A,86.8,#N/A,#N/A,#N/A
Sep-78,#N/A,#N/A,#N/A,#N/A,#N/A,86.9,#N/A,#N/A,#N/A
Oct-78,89.5,#N/A,88.0,92.2,88.4,87.5,#N/A,#N/A,89.9
Nov-78,90.0,#N/A,88.6,92.8,89.0,87.9,#N/A,#N/A,90.2
Dec-78,90.6,#N/A,89.2,93.4,89.6,88.5,#N/A,#N/A,90.5
Jan-79,91.1,#N/A,89.5,94.2,89.8,89.4,#N/A,#N/A,91.0
Feb-79,91.6,#N/A,90.3,94.7,90.3,89.9,#N/A,#N/A,91.5
Mar-79,92.2,#N/A,91.0,95.0,90.9,90.7,#N/A,#N/A,92.0
Apr-79,92.6,#N/A,91.4,95.2,91.3,90.6,#N/A,#N/A,92.4
May-79,93.1,#N/A,92.2,95.8,91.9,91.1,#N/A,#N/A,92.9
Jun-79,93.6,#N/A,92.9,96.2,92.7,91.7,#N/A,#N/A,93.3
Jul-79,94.0,#N/A,93.1,95.6,92.9,91.7,#N/A,#N/A,93.8
Aug-79,94.5,#N/A,93.7,96.0,93.0,92.4,#N/A,#N/A,94.3
Sep-79,94.9,#N/A,94.4,97.3,94.0,93.1,#N/A,#N/A,94.8
Oct-79,95.2,#N/A,95.1,97.8,95.0,93.6,#N/A,#N/A,95.4
Nov-79,95.5,#N/A,95.9,97.9,95.3,94.3,#N/A,#N/A,95.9
Dec-79,95.8,#N/A,96.4,98.3,95.4,94.4,#N/A,#N/A,96.4
Jan-80,96.0,#N/A,96.8,98.6,97.1,95.0,#N/A,#N/A,96.8
Feb-80,96.3,#N/A,97.1,98.6,97.0,95.3,#N/A,#N/A,97.2
Mar-80,96.6,#N/A,97.5,98.6,97.7,95.2,#N/A,#N/A,97.3
Apr-80,96.9,#N/A,97.6,98.8,97.9,95.9,#N/A,#N/A,97.6
May-80,97.3,#N/A,98.0,99.1,98.2,96.6,#N/A,#N/A,97.9
Jun-80,97.8,#N/A,98.4,99.0,98.5,97.1,#N/A,#N/A,98.2
Jul-80,98.3,#N/A,98.7,98.9,98.6,97.5,#N/A,98.3,98.6
Aug-80,98.8,#N/A,99.3,99.0,98.6,98.0,#N/A,97.7,99.0
Sep-80,99.4,#N/A,99.8,99.5,99.3,99.0,#N/A,98.7,99.5
Oct-80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nov-80,100.7,101.0,100.7,100.3,100.2,100.6,100.7,100.7,100.4
Dec-80,101.3,101.5,101.3,100.6,100.9,101.5,101.6,100.0,100.8
Jan-81,102.0,101.9,101.9,101.3,102.1,102.0,102.5,100.3,101.2
Feb-81,102.7,102.4,102.4,102.1,102.2,103.2,103.7,102.2,101.8
Mar-81,103.3,103.0,102.8,102.9,102.4,104.0,105.0,105.0,102.3
Apr-81,104.0,103.6,103.3,103.9,103.1,105.2,106.6,104.8,102.8
May-81,104.5,104.1,103.6,104.8,103.6,106.0,108.4,104.3,103.2
Jun-81,105.1,105.1,104.0,105.3,103.9,106.8,110.2,105.5,103.6
Jul-81,105.7,106.4,104.5,105.9,104.2,108.6,112.3,112.0,104.0
Aug-81,106.2,107.4,104.8,106.3,105.4,109.5,114.3,115.1,104.4
Sep-81,106.7,107.6,105.3,106.5,105.6,110.5,116.3,114.4,104.8
Oct-81,107.1,107.6,105.7,107.0,105.3,112.3,118.1,111.1,105.2
Nov-81,107.6,107.7,106.0,107.4,105.6,112.7,119.6,116.8,105.4
Dec-81,108.0,107.9,106.5,107.4,105.8,113.2,120.3,122.6,105.8
Jan-82,108.5,107.9,106.5,106.8,104.8,113.3,120.2,125.8,106.0
Feb-82,108.9,107.3,106.9,106.2,105.1,113.6,118.9,122.9,106.2
Mar-82,109.3,106.3,107.2,105.6,104.8,114.0,116.4,122.9,106.4
Apr-82,109.8,105.0,107.6,104.7,105.1,113.3,112.9,123.4,106.4
May-82,110.3,103.7,107.7,103.8,104.3,112.2,108.4,124.4,106.6
Jun-82,110.9,102.5,108.0,103.1,104.4,110.9,103.5,121.7,106.7
Jul-82,111.5,101.2,108.3,102.4,104.4,108.8,98.1,118.9,106.9
Aug-82,112.2,99.6,108.7,101.9,104.4,107.4,92.6,115.5,107.1
Sep-82,112.9,97.5,108.9,101.0,104.4,106.0,87.3,113.4,107.3
Oct-82,113.7,95.6,109.0,100.0,104.5,104.1,82.3,110.0,107.6
Nov-82,114.6,94.4,109.4,99.5,104.7,102.8,77.9,107.2,107.9
Dec-82,115.5,93.8,109.7,99.1,105.0,101.8,74.2,103.9,108.2
Jan-83,116.5,93.4,110.1,98.9,105.8,101.7,71.2,102.4,108.7
Feb-83,117.7,93.2,110.6,99.0,105.8,100.5,68.8,100.3,109.1
Mar-83,118.9,93.1,111.0,99.1,106.4,99.7,67.1,97.9,109.5
Apr-83,120.3,93.1,111.9,99.4,107.2,99.1,65.9,94.3,110.1
May-83,121.7,93.0,112.4,100.1,107.9,98.7,65.1,92.4,110.8
Jun-83,123.2,92.8,113.2,100.6,108.5,98.4,64.8,91.9,111.6
Jul-83,124.9,92.8,114.4,100.8,109.3,98.6,64.6,91.4,112.3
Aug-83,126.6,93.2,115.1,101.4,110.4,97.4,64.9,90.1,113.0
Sep-83,128.4,94.0,116.3,101.9,111.0,99.2,65.2,88.9,113.7
Oct-83,130.3,94.3,117.2,102.5,111.9,98.8,65.9,90.1,114.4
Nov-83,132.3,94.4,118.2,102.9,112.7,99.2,66.6,91.6,115.2
Dec-83,134.4,94.7,119.1,103.3,113.3,99.6,67.6,92.0,116.0
Jan-84,136.6,95.4,120.7,104.2,114.5,100.4,68.6,90.1,116.9
Feb-84,138.8,95.9,121.9,105.1,115.8,100.9,69.7,89.6,118.0
Mar-84,141.1,96.0,122.9,105.6,116.5,101.3,70.8,90.5,118.9
Apr-84,143.4,96.3,124.7,105.8,118.0,102.7,71.9,93.1,119.9
May-84,145.8,96.5,126.0,106.8,118.9,103.5,73.0,94.5,120.9
Jun-84,148.0,96.4,127.1,107.4,120.1,104.4,74.3,95.2,121.9
Jul-84,150.3,96.2,128.2,107.2,120.9,104.6,75.6,94.8,122.8
Aug-84,152.5,96.6,129.4,107.5,121.4,105.0,77.0,96.0,123.7
Sep-84,154.6,97.2,130.2,108.2,122.5,105.2,78.4,97.2,124.6
Oct-84,156.6,97.5,131.2,108.5,123.7,105.4,79.8,97.9,125.6
Nov-84,158.5,97.6,132.2,108.7,123.7,105.5,81.2,97.6,126.5
Dec-84,160.3,97.6,132.9,109.1,125.2,105.4,82.5,97.5,127.2
Jan-85,161.9,97.6,133.5,109.7,125.9,104.9,83.8,98.5,128.0
Feb-85,163.4,97.7,134.2,110.0,126.5,104.4,85.1,99.6,128.7
Mar-85,164.7,98.1,134.9,110.5,128.3,104.1,86.4,100.8,129.3
Apr-85,165.8,98.6,135.3,111.2,127.9,104.1,87.5,100.9,130.1
May-85,166.8,99.2,136.1,111.7,128.9,104.4,88.6,101.7,130.8
Jun-85,167.5,100.0,136.7,112.0,129.6,104.5,89.4,102.4,131.3
Jul-85,168.2,100.7,137.4,112.4,130.1,104.7,90.0,104.6,131.8
Aug-85,168.6,100.9,138.0,113.4,130.6,104.7,90.3,105.0,132.3
Sep-85,168.9,100.6,138.5,114.3,130.9,104.5,90.6,105.7,132.6
Oct-85,169.2,100.6,139.0,115.0,131.3,104.4,90.5,104.8,132.9
Nov-85,169.2,100.9,139.5,116.0,131.6,103.6,90.5,106.9,133.3
Dec-85,169.1,101.1,139.8,116.8,131.9,103.1,90.1,107.0,133.6
Jan-86,168.8,100.9,140.2,117.2,132.8,102.9,89.7,107.2,134.0
Feb-86,168.4,100.5,140.4,117.1,132.4,102.2,88.8,104.5,134.1
Mar-86,167.8,100.3,140.5,116.9,132.7,101.7,87.8,105.2,134.2
Apr-86,167.2,100.1,140.3,117.0,132.5,99.5,86.6,105.7,134.2
May-86,166.5,99.8,140.3,116.8,132.4,97.8,85.4,106.4,134.1
Jun-86,165.7,99.4,140.1,116.0,132.3,96.8,84.2,103.0,134.0
Jul-86,164.9,99.1,140.1,115.9,133.1,96.2,83.2,102.4,134.0
Aug-86,164.0,99.0,139.9,116.0,133.0,95.4,82.2,102.3,133.9
Sep-86,163.1,98.7,139.8,115.8,133.0,94.7,81.6,103.8,133.9
Oct-86,162.2,98.3,139.6,115.9,132.9,94.0,81.1,101.6,133.7
Nov-86,161.3,98.1,139.6,116.2,133.3,93.7,80.9,100.3,133.5
Dec-86,160.5,97.9,139.4,116.5,133.5,93.7,81.0,99.8,133.3
Jan-87,159.7,97.6,139.7,117.3,133.8,93.9,81.5,102.2,133.4
Feb-87,158.9,97.4,139.7,118.1,133.6,94.1,82.2,102.5,133.4
Mar-87,158.3,97.6,139.7,118.6,134.1,94.1,83.0,101.9,133.4
Apr-87,157.7,97.8,139.6,118.9,133.9,94.1,83.8,100.4,133.3
May-87,157.2,98.1,139.7,119.6,134.5,94.3,84.6,100.9,133.2
Jun-87,156.7,98.4,139.7,120.7,133.9,94.6,85.3,101.6,133.2
Jul-87,156.4,98.7,140.1,122.0,135.1,95.4,85.9,102.3,133.2
Aug-87,156.1,99.0,140.1,122.9,135.9,95.6,86.4,102.4,133.2
Sep-87,156.0,99.3,140.4,123.2,136.2,96.9,86.9,103.4,133.2
Oct-87,155.9,99.6,141.3,123.1,136.9,97.3,87.4,105.2,133.4
