,Rank,HBR_CEO,HBR_Company,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
0,1,>Jensen Huang<,">
NVIDIA<",> Information Technology | <,> United States | <,> 1993 | <,> YES | <,> NO | <,> 4 | <,> 101 | <,> 179<
1,2,>Marc Benioff<,">
Salesforce.com<",> Information Technology | <,> United States | <,> 2001 | <,> YES | <,> NO | <,> 6 | <,> 122 | <,> 229<
2,3,>François-Henri Pinault<,">
Kering<",> Consumer Goods | <,> France | <,> 2005 | <,> YES | <,> YES | <,> 30 | <,> 137 | <,> 118<
3,4,>Richard Templeton<,">
Texas Instruments<",> Information Technology | <,> United States | <,> 2004 | <,> YES | <,> NO | <,> 56 | <,> 59 | <,> 135<
4,5,>Ignacio Galán<,">
Iberdrola<",> Utilities | <,> Spain | <,> 2001 | <,> NO | <,> YES | <,> 87 | <,> 26 | <,> 43<
5,6,>Shantanu Narayen<,">
Adobe<",> Information Technology | <,> United States | <,> 2007 | <,> YES | <,> YES | <,> 43 | <,> 204 | <,> 82<
6,7,>Ajay Banga<,">
Mastercard<",> Information Technology | <,> United States | <,> 2010 | <,> YES | <,> YES | <,> 13 | <,> 166 | <,> 284<
7,8,>Johan Thijs<,">
KBC<",> Financial Services | <,> Belgium | <,> 2012 | <,> YES | <,> NO | <,> 78 | <,> 36 | <,> 111<
8,9,>Satya Nadella<,">
Microsoft<",> Information Technology | <,> United States | <,> 2014 | <,> YES | <,> YES | <,> 86 | <,> 99 | <,> 13<
9,10,>Bernard Arnault<,">
LVMH<",> Consumer Goods | <,> France | <,> 1989 | <,> NO | <,> NO | <,> 7 | <,> 337 | <,> 154<
10,11,>Erik Engstrom<,">
RELX<",> Commercial Services | <,> United Kingdom | <,> 2009 | <,> YES | <,> YES | <,> 97 | <,> 75 | <,> 2<
11,12,>Michael Mussallem<,">
Edwards Lifesciences<",> Health Care | <,> United States | <,> 2000 | <,> YES | <,> NO | <,> 18 | <,> 195 | <,> 254<
12,13,>Elmar Degenhart<,">
Continental<",> Automobile | <,> Germany | <,> 2009 | <,> NO | <,> NO | <,> 67 | <,> 153 | <,> 177<
13,14,>Anders Runevad<,">
Vestas<",> Industrials | <,> Denmark | <,> 2013 | <,> NO | <,> YES | <,> 114 | <,> 27 | <,> 85<
14,15,>Bernard Charlès<,">
Dassault Systémes<",> Information Technology | <,> France | <,> 1995 | <,> YES | <,> NO | <,> 24 | <,> 373 | <,> 174<
15,16,>Nancy McKinstry<,">
Wolters Kluwer<",> Commercial Services | <,> Netherlands | <,> 2003 | <,> YES | <,> YES | <,> 94 | <,> 211 | <,> 83<
16,17,>Hamid Moghadam<,">
Prologis<",> Real Estate | <,> United States | <,> 1997 | <,> YES | <,> YES | <,> 52 | <,> 111 | <,> 382<
17,18,>Benoît Potier<,">
Air Liquide<",> Materials | <,> France | <,> 1997 | <,> YES | <,> NO | <,> 66 | <,> 61 | <,> 384<
18,19,>Jean-Paul Agon<,">
L’Oréal<",> Consumer Goods | <,> France | <,> 2006 | <,> YES | <,> NO | <,> 142 | <,> 129 | <,> 1<
19,20,>Mark Parker<,">
Nike<",> Consumer Goods | <,> United States | <,> 2006 | <,> YES | <,> NO | <,> 22 | <,> 522 | <,> 183<
20,21,>Jacques Aschenbroich<,">
Valeo<",> Automobile | <,> France | <,> 2009 | <,> NO | <,> NO | <,> 159 | <,> 92 | <,> 15<
21,22,>Simon Borrows<,">
3i<",> Financial Services | <,> United Kingdom | <,> 2012 | <,> YES | <,> YES | <,> 145 | <,> 39 | <,> 140<
22,23,>Jamie Dimon<,">
JPMorgan Chase<",> Financial Services | <,> United States | <,> 2005 | <,> YES | <,> YES | <,> 84 | <,> 188 | <,> 311<
23,24,>Laurence Fink<,">
BlackRock<",> Financial Services | <,> United States | <,> 1988 | <,> YES | <,> YES | <,> 5 | <,> 308 | <,> 571<
24,25,>Gregory Goodman<,">
Goodman<",> Real Estate | <,> Australia | <,> 1995 | <,> YES | <,> NO | <,> 42 | <,> 228 | <,> 479<
25,26,>Lisa Su<,">
Advanced Micro Devices<",> Information Technology | <,> United States | <,> 2014 | <,> YES | <,> NO | <,> 72 | <,> 141 | <,> 428<
26,27,>Xavier Huillard<,">
Vinci<",> Industrials | <,> France | <,> 2006 | <,> YES | <,> NO | <,> 83 | <,> 396 | <,> 128<
27,28,>Alfred Chan<,">
Hong Kong and China Gas<",> Utilities | <,> <,>China<,> 1997 | <,> YES | <,> NO | <,> 47 | <,> 432 | <
28,29,>Debra Cafaro<,">
Ventas<",> Real Estate | <,> United States | <,> 1999 | <,> NO | <,> NO | <,> 32 | <,> 415 | <,> 364<
29,30,>Gilles Andrier<,">
Givaudan<",> Materials | <,> Switzerland | <,> 2005 | <,> YES | <,> NO | <,> 133 | <,> 254 | <,> 55<
30,31,>Martin Bouygues<,">
Bouygues<",> Industrials | <,> France | <,> 1989 | <,> YES | <,> NO | <,> 74 | <,> 479 | <,> 108<
31,32,>Chuck Robbins<,">
Cisco Systems<",> Information Technology | <,> United States | <,> 2015 | <,> YES | <,> NO | <,> 186 | <,> 38 | <,> 30<
32,33,>Hisashi Ietsugu<,">
Sysmex<",> Health Care | <,> Japan | <,> 1996 | <,> YES | <,> NO | <,> 85 | <,> 529 | <,> 29<
33,34,>Richard Fairbank<,">
Capital One<",> Financial Services | <,> United States | <,> 1994 | <,> YES | <,> YES | <,> 23 | <,> 560 | <,> 293<
34,35,>Heinz-Jürgen Bertram<,">
Symrise<",> Materials | <,> Germany | <,> 2009 | <,> YES | <,> NO | <,> 138 | <,> 251 | <,> 64<
35,36,>Michitaka Sawada<,">
Kao<",> Consumer Goods | <,> Japan | <,> 2012 | <,> YES | <,> NO | <,> 177 | <,> 77 | <,> 60<
36,37,>Marillyn Hewson<,">
Lockheed Martin<",> Industrials | <,> United States | <,> 2013 | <,> YES | <,> NO | <,> 97 | <,> 301 | <,> 219<
37,38,>Douglas Baker Jr.<,">
Ecolab<",> Materials | <,> United States | <,> 2004 | <,> YES | <,> NO | <,> 63 | <,> 492 | <,> 188<
38,39,>Fabrizio Freda<,">
Estée Lauder<",> Consumer Goods | <,> United States | <,> 2009 | <,> YES | <,> NO | <,> 26 | <,> 585 | <,> 271<
39,40,>Reinhard Ploss<,">
Infineon Technologies<",> Information Technology | <,> Germany | <,> 2012 | <,> YES | <,> NO | <,> 175 | <,> 65 | <,> 94<
40,41,>Carlos Rodriguez<,">
ADP<",> Information Technology | <,> United States | <,> 2011 | <,> YES | <,> YES | <,> 115 | <,> 175 | <,> 268<
41,42,>Feike Sijbesma<,">
DSM<",> Materials | <,> Netherlands | <,> 2007 | <,> YES | <,> YES | <,> 194 | <,> 19 | <,> 61<
42,43,>Shigenobu Nagamori<,">
Nidec<",> Industrials | <,> Japan | <,> 1973 | <,> YES | <,> NO | <,> 16 | <,> 501 | <,> 426<
43,44,>Luis Maroto<,">
Amadeus IT<",> Information Technology | <,> Spain | <,> 2011 | <,> YES | <,> YES | <,> 132 | <,> 173 | <,> 220<
44,45,>Douglas Peterson<,">
S&amp;P Global<",> Financial Services | <,> United States | <,> 2013 | <,> YES | <,> YES | <,> 134 | <,> 237 | <,> 161<
45,46,>Íñigo Meirás<,">
Ferrovial<",> Industrials | <,> Spain | <,> 2009 | <,> YES | <,> YES | <,> 162 | <,> 245 | <,> 45<
46,47,>Michael Mahoney<,">
Boston Scientific<",> Health Care | <,> United States | <,> 2012 | <,> YES | <,> YES | <,> 48 | <,> 591 | <,> 252<
47,48,>Jean-Pascal Tricoire<,">
Schneider Electric<",> Industrials | <,> France | <,> 2006 | <,> YES | <,> YES | <,> 211 | <,> 60 | <,> 28<
48,49,>Glenn Chamandy<,">
Gildan Activewear<",> Consumer Goods | <,> Canada | <,> 2004 | <,> YES | <,> NO | <,> 174 | <,> 182 | <,> 84<
49,50,>George Kwok Lung Hongchoy<,">
Link REIT<",> Real Estate | <,>China<,> 2010 | <,> YES | <,> YES | <,> 80 | <,> 439 | <,> 275<
50,51,>Olivier Filliol<,">
Mettler Toledo<",> Health Care | <,> Switzerland | <,> 2008 | <,> YES | <,> YES | <,> 130 | <,> 149 | <,> 350<
51,52,>Masahiko Uotani<,">
Shiseido<",> Consumer Goods | <,> Japan | <,> 2014 | <,> NO | <,> YES | <,> 104 | <,> 330 | <,> 303<
52,53,>Frederick Smith<,">
FedEx<",> Transportation | <,> United States | <,> 1971 | <,> YES | <,> NO | <,> 58 | <,> 319 | <,> 549<
