,Company,Market Value (M),rank_change1000,employees,CEO,Sector,HQ Location,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Market Cap (M),No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_Approval,HBR Ranked,GD Ranked,GD & HBR Ranked,MarketSize: < 250 million,"MarketSize: 250 ~ 1,000 million","MarketSize: 1,001 ~ 5,000 million","MarketSize: 5,001 ~ 50,000 million",MarketSize: 50 Billion +,Aerospace & Defense,Apparel,Business Services,Chemicals,Energy,Engineering & Construction,Financials,Food & Drug Stores,"Food, Beverages & Tobacco",Health Care,"Hotels, Restaurants & Leisure",Household Products,Industrials,Materials,Media,Motor Vehicles & Parts,Retailing,Technology,Telecommunications,Transportation,Wholesalers,State,Region,Division,Midwest,Northeast,South,West,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
0,walmart,279880.3,0.0,2200000.0,C. Douglas McMillon,Retailing,"Bentonville, Ark.",2200000.0,514405.0,2.8,6670.0,-32.4,219295.0,0.0,72496.0,0.0,1.3,3.0,9.2,2.26,6.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Arkansas,South,West South Central,0,0,1,0,0,0,0,0,0,0,0,0,1
1,exxonmobil,342172.0,0.0,71000.0,Darren W. Woods,Energy,"Irving, Texas",71000.0,290212.0,18.8,20840.0,5.7,346196.0,0.0,191794.0,0.0,7.2,6.0,10.9,4.88,-4.3,1.5,344980.0,12.0,65.0,0.92,5.5,360513.0,0.17,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,South,West South Central,0,0,1,0,0,0,0,0,0,0,0,0,1
2,apple,895667.4,1.0,132000.0,Timothy D. Cook,Technology,"Cupertino, Calif.",132000.0,265595.0,15.9,59531.0,23.1,365725.0,0.0,107147.0,0.0,22.4,16.3,55.6,11.91,16.6,30.8,666252.0,8.0,64.0,0.88,4.5,317829.0,0.25,0.92,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California,West,Pacific,0,0,0,1,0,0,0,0,0,1,0,0,0
3,berkshirehathaway,493870.3,-1.0,389000.0,Warren E. Buffett,Financials,"Omaha, Neb.",389000.0,247837.0,2.4,4021.0,-91.1,707794.0,0.0,348703.0,0.0,1.6,0.6,1.2,2446.0,11.5,12.2,335798.0,12.0,66.5,0.67,12.0,2700.0,0.25,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Midwest,West North Central,1,0,0,0,0,0,0,0,0,0,0,1,0
4,amazoncom,874709.5,3.0,647500.0,Jeffrey P. Bezos,Retailing,"Seattle, Wash.",647500.0,232887.0,30.9,10073.0,232.1,162648.0,0.0,43549.0,0.0,4.3,6.2,23.1,20.14,30.4,40.2,293398.0,10.0,64.0,0.8,11.5,0.0,0.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Washington,West,Pacific,0,0,0,1,0,0,0,0,0,1,0,0,0
5,unitedhealth,237255.5,-1.0,300000.0,David S. Wichmann,Health Care,"Minnetonka, Minn.",300000.0,226247.0,12.5,11986.0,13.5,152221.0,0.0,51696.0,0.0,5.3,7.9,23.2,12.19,29.0,26.7,112310.0,10.0,69.5,0.7,8.0,308097.0,0.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Midwest,West North Central,1,0,0,0,0,0,0,0,0,0,0,1,0
6,mckesson,22455.1,-1.0,68000.0,Brian S. Tyler,Health Care,"Irving, Texas",68000.0,208357.0,4.9,67.0,-98.7,60381.0,0.0,9804.0,0.0,0.0,0.1,0.7,0.32,-6.7,12.0,41143.0,11.0,65.0,0.91,11.0,263843.0,0.27,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Texas,South,West South Central,0,0,1,0,0,0,0,0,0,0,0,0,1
7,cvshealth,69951.6,-1.0,295000.0,Larry J. Merlo,Health Care,"Woonsocket, R.I.",295000.0,194579.0,5.3,-594.0,-109.0,196456.0,0.0,58225.0,0.0,-0.3,-0.3,-1.0,-0.57,0.3,10.4,110088.0,11.0,62.0,0.82,4.0,299765.0,0.27,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Rhode Island,Northeast,New England,0,1,0,0,0,0,0,0,1,0,0,0,0
8,at&t,228444.7,0.0,268220.0,Randall L. Stephenson,Telecommunications,"Dallas, Texas",268220.0,170756.0,6.4,19370.0,-34.2,531864.0,0.0,184089.0,0.0,11.3,3.6,10.5,2.85,1.2,5.7,206153.0,14.0,61.0,0.93,3.0,306664.0,0.29,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Texas,South,West South Central,0,0,1,0,0,0,0,0,0,0,0,0,1
9,amerisourcebergen,16785.9,2.0,20500.0,Steven H. Collis,Health Care,"Chesterbrook, Pa.",20500.0,167939.6,9.7,1658.4,355.0,37669.8,0.0,2932.8,0.0,1.0,4.4,56.5,7.53,2.7,17.0,20865.0,11.0,62.0,0.82,5.0,232644.0,0.27,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Northeast,Middle Atlantic,0,1,0,0,0,0,1,0,0,0,0,0,0
