,Company,Market Value (M),rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Market Cap (M),Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub,HBR Ranked,GD Ranked,GD & HBR Ranked,MarketSize: < 250 million,"MarketSize: 250 ~ 1,000 million","MarketSize: 1,001 ~ 5,000 million","MarketSize: 5,001 ~ 50,000 million",MarketSize: 50 Billion +,Aerospace & Defense,Apparel,Business Services,Chemicals,Energy,Engineering & Construction,Financials,Food & Drug Stores,"Food, Beverages & Tobacco",Health Care,"Hotels, Restaurants & Leisure",Household Products,Industrials,Materials,Media,Motor Vehicles & Parts,Retailing,Technology,Telecommunications,Transportation,Wholesalers,State,Region,Midwest,Northeast,South,West,Division,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
0,walmart,279880.3,,2200000.0,,C. Douglas McMillon,"President, Chief Executive Officer &amp; Director",Retailing,General Merchandisers,"Bentonville, Ark.",,25.0,2200000.0,514405.0,2.8,6670.0,-32.4,219295.0,,72496.0,,1.3,3.0,9.2,2.26,-31.1,-14.3,-4.0,-3.5,6.1,7.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Arkansas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
1,exxonmobil,342172.0,,71000.0,,Darren W. Woods,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Irving, Texas",,65.0,71000.0,290212.0,18.8,20840.0,5.7,346196.0,,191794.0,,7.2,6.0,10.9,4.88,5.4,-7.9,-5.6,-15.1,-4.3,1.5,344980.0,Energy,12.0,65.0,0.92,5.5,360513.0,0.17,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
2,apple,895667.4,1.0,132000.0,1.0,Timothy D. Cook,"President, Chief Executive Officer &amp; Director",Technology,"Computers, Office Equipment","Cupertino, Calif.",,37.0,132000.0,265595.0,15.9,59531.0,23.1,365725.0,,107147.0,,22.4,16.3,55.6,11.91,29.3,16.0,31.6,-5.4,16.6,30.8,666252.0,Information Technology,8.0,64.0,0.88,4.5,317829.0,0.25,Tim Cook,0.92,69.0,62.0,Tim Cook,Information Technology,United States,2011.0,1.0,1.0,124.0,406.0,265.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
3,berkshirehathaway,493870.3,-1.0,389000.0,-1.0,Warren E. Buffett,"Chairman, President &amp; Chief Executive Officer",Financials,,"Omaha, Neb.",,35.0,389000.0,247837.0,2.4,4021.0,-91.1,707794.0,,348703.0,,1.6,0.6,1.2,2446.0,-91.0,-27.1,-2.7,2.8,11.5,12.2,335798.0,Financials,12.0,66.5,0.67,12.0,2700.0,0.25,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Midwest,1,0,0,0,West North Central,0,0,0,0,0,0,0,1,0
4,amazoncom,874709.5,3.0,647500.0,3.0,Jeffrey P. Bezos,"Chairman, President &amp; Chief Executive Officer",Retailing,Internet Services and Retailing,"Seattle, Wash.",,18.0,647500.0,232887.0,30.9,10073.0,232.1,162648.0,,43549.0,,4.3,6.2,23.1,20.14,227.5,102.6,29.7,28.4,30.4,40.2,293398.0,Consumer Discretionary,10.0,64.0,0.8,11.5,0.0,0.3,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Washington,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
5,unitedhealth,237255.5,-1.0,300000.0,-1.0,David S. Wichmann,"President, Chief Executive Officer &amp; Director",Health Care,,"Minnetonka, Minn.",,25.0,300000.0,226247.0,12.5,11986.0,13.5,152221.0,,51696.0,,5.3,7.9,23.2,12.19,13.7,17.3,17.6,14.5,29.0,26.7,112310.0,Health Care,10.0,69.5,0.7,8.0,308097.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Minnesota,Midwest,1,0,0,0,West North Central,0,0,0,0,0,0,0,1,0
6,mckesson,22455.1,-1.0,68000.0,-1.0,Brian S. Tyler,"President, Chief Executive Officer &amp; Director",Health Care,,"Irving, Texas",,25.0,68000.0,208357.0,4.9,67.0,-98.7,60381.0,,9804.0,,0.0,0.1,0.7,0.32,-98.6,-43.6,-20.9,-28.4,-6.7,12.0,41143.0,Health Care,11.0,65.0,0.91,11.0,263843.0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
7,cvshealth,69951.6,-1.0,295000.0,-1.0,Larry J. Merlo,"President, Chief Executive Officer &amp; Director",Health Care,,"Woonsocket, R.I.",,26.0,295000.0,194579.0,5.3,-594.0,-109.0,196456.0,,58225.0,,-0.3,-0.3,-1.0,-0.57,-108.9,,,-7.0,0.3,10.4,110088.0,Consumer Staples,11.0,62.0,0.82,4.0,299765.0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Rhode Island,Northeast,0,1,0,0,New England,0,0,0,0,1,0,0,0,0
8,at&t,228444.7,,268220.0,,Randall L. Stephenson,"Chairman, President &amp; Chief Executive Officer",Telecommunications,Telecommunications,"Dallas, Texas",,25.0,268220.0,170756.0,6.4,19370.0,-34.2,531864.0,,184089.0,,11.3,3.6,10.5,2.85,-40.1,-3.4,2.8,-22.1,1.2,5.7,206153.0,Telecommunications Services,14.0,61.0,0.93,3.0,306664.0,0.29,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
9,amerisourcebergen,16785.9,2.0,20500.0,2.0,Steven H. Collis,"Chairman, President &amp; Chief Executive Officer",Health Care,,"Chesterbrook, Pa.",,25.0,20500.0,167939.6,9.7,1658.4,355.0,37669.8,,2932.8,,1.0,4.4,56.5,7.53,359.1,32.6,25.6,-17.6,2.7,17.0,20865.0,Health Care,11.0,62.0,0.82,5.0,232644.0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
