,Company,revenues,rev_perc_change,profit,prof_perc_change,assets,market_value,rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Unnamed: 0_y,Market Cap,Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
0,walmart,"$514,405.0",2.8%,"$6,670.0",-32.4%,"$219,295.0","$279,880.3",-,"2,200,000",-,C. Douglas McMillon,"President, Chief Executive Officer &amp; Director",Retailing,General Merchandisers,"Bentonville, Ark.",,25,"2,200,000","$514,405.0",2.8%,"$6,670.0",-32.4%,"$219,295.0",-,"$72,496.0",-,1.3%,3.0%,9.2%,2.26,-31.1%,-14.3%,-4.0%,-3.5%,6.1%,7.8%,,,,,,,,,,,,,,,,,,,,,,
1,exxonmobil,"$290,212.0",18.8%,"$20,840.0",5.7%,"$346,196.0","$342,172.0",-,"71,000",-,Darren W. Woods,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Irving, Texas",,65,"71,000","$290,212.0",18.8%,"$20,840.0",5.7%,"$346,196.0",-,"$191,794.0",-,7.2%,6.0%,10.9%,4.88,5.4%,-7.9%,-5.6%,-15.1%,-4.3%,1.5%,37.0,344980.0,Energy,12.0,65.0,0.92,5.5,360513.0,0.17,,,,,,,,,,,,,
2,apple,"$265,595.0",15.9%,"$59,531.0",23.1%,"$365,725.0","$895,667.4",1,"132,000",1,Timothy D. Cook,"President, Chief Executive Officer &amp; Director",Technology,"Computers, Office Equipment","Cupertino, Calif.",,37,"132,000","$265,595.0",15.9%,"$59,531.0",23.1%,"$365,725.0",-,"$107,147.0",-,22.4%,16.3%,55.6%,11.91,29.3%,16.0%,31.6%,-5.4%,16.6%,30.8%,81.0,666252.0,Information Technology,8.0,64.0,0.88,4.5,317829.0,0.25,Tim Cook,0.92,69.0,62.0,Tim Cook,Information Technology,United States,2011.0,1.0,1.0,124.0,406.0,265.0
3,berkshirehathaway,"$247,837.0",2.4%,"$4,021.0",-91.1%,"$707,794.0","$493,870.3",-1,"389,000",-1,Warren E. Buffett,"Chairman, President &amp; Chief Executive Officer",Financials,,"Omaha, Neb.",,35,"389,000","$247,837.0",2.4%,"$4,021.0",-91.1%,"$707,794.0",-,"$348,703.0",-,1.6%,0.6%,1.2%,"2,446",-91.0%,-27.1%,-2.7%,2.8%,11.5%,12.2%,489.0,335798.0,Financials,12.0,66.5,0.67,12.0,2700.0,0.25,,,,,,,,,,,,,
4,amazoncom,"$232,887.0",30.9%,"$10,073.0",232.1%,"$162,648.0","$874,709.5",3,"647,500",3,Jeffrey P. Bezos,"Chairman, President &amp; Chief Executive Officer",Retailing,Internet Services and Retailing,"Seattle, Wash.",,18,"647,500","$232,887.0",30.9%,"$10,073.0",232.1%,"$162,648.0",-,"$43,549.0",-,4.3%,6.2%,23.1%,20.14,227.5%,102.6%,29.7%,28.4%,30.4%,40.2%,490.0,293398.0,Consumer Discretionary,10.0,64.0,0.8,11.5,0.0,0.3,,,,,,,,,,,,,
5,unitedhealthgroup,"$226,247.0",12.5%,"$11,986.0",13.5%,"$152,221.0","$237,255.5",-1,"300,000",-1,David S. Wichmann,"President, Chief Executive Officer &amp; Director",Health Care,,"Minnetonka, Minn.",,25,"300,000","$226,247.0",12.5%,"$11,986.0",13.5%,"$152,221.0",-,"$51,696.0",-,5.3%,7.9%,23.2%,12.19,13.7%,17.3%,17.6%,14.5%,29.0%,26.7%,96.0,112310.0,Health Care,10.0,69.5,0.7,8.0,308097.0,0.2,,,,,,,,,,,,,
6,mckesson,"$208,357.0",4.9%,$67.0,-98.7%,"$60,381.0","$22,455.1",-1,"68,000",-1,Brian S. Tyler,"President, Chief Executive Officer &amp; Director",Health Care,,"Irving, Texas",,25,"68,000","$208,357.0",4.9%,$67.0,-98.7%,"$60,381.0",-,"$9,804.0",-,0.0%,0.1%,0.7%,0.32,-98.6%,-43.6%,-20.9%,-28.4%,-6.7%,12.0%,209.0,41143.0,Health Care,11.0,65.0,0.91,11.0,263843.0,0.27,,,,,,,,,,,,,
7,cvshealth,"$194,579.0",5.3%,$-594.0,-109.0%,"$196,456.0","$69,951.6",-1,"295,000",-1,Larry J. Merlo,"President, Chief Executive Officer &amp; Director",Health Care,,"Woonsocket, R.I.",,26,"295,000","$194,579.0",5.3%,$-594.0,-109.0%,"$196,456.0",-,"$58,225.0",-,-0.3%,-0.3%,-1.0%,-0.57,-108.9%,-,-,-7.0%,0.3%,10.4%,113.0,110088.0,Consumer Staples,11.0,62.0,0.82,4.0,299765.0,0.27,,,,,,,,,,,,,
8,at&t,"$170,756.0",6.4%,"$19,370.0",-34.2%,"$531,864.0","$228,444.7",-,"268,220",-,Randall L. Stephenson,"Chairman, President &amp; Chief Executive Officer",Telecommunications,Telecommunications,"Dallas, Texas",,25,"268,220","$170,756.0",6.4%,"$19,370.0",-34.2%,"$531,864.0",-,"$184,089.0",-,11.3%,3.6%,10.5%,2.85,-40.1%,-3.4%,2.8%,-22.1%,1.2%,5.7%,97.0,206153.0,Telecommunications Services,14.0,61.0,0.93,3.0,306664.0,0.29,,,,,,,,,,,,,
9,amerisourcebergen,"$167,939.6",9.7%,"$1,658.4",355.0%,"$37,669.8","$16,785.9",2,"20,500",2,Steven H. Collis,"Chairman, President &amp; Chief Executive Officer",Health Care,,"Chesterbrook, Pa.",,25,"20,500","$167,939.6",9.7%,"$1,658.4",355.0%,"$37,669.8",-,"$2,932.8",-,1.0%,4.4%,56.5%,7.53,359.1%,32.6%,25.6%,-17.6%,2.7%,17.0%,337.0,20865.0,Health Care,11.0,62.0,0.82,5.0,232644.0,0.27,,,,,,,,,,,,,
