,Company,Market Cap,Industry,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board
0,Regeneron Pharmaceuticals ,57795,Health Care,12,72,0.67,22,1769032,0.08
1,Endo International ,13581,Health Care,9,60,0.89,6,1350504,0.22
2,Celgene ,96407,Health Care,10,67,0.9,7,829699,0.3
3,Vertex Pharmaceuticals ,30479,Health Care,9,60,0.78,4,787878,0.33
4,salesforce.com,50943,Information Technology,11,60,0.73,9,655126,0.18
5,Roper Technologies ,18759,Industrials,10,66.5,0.9,11.5,621260,0.2
6,Medtronic ,104494,Health Care,13,60,0.92,4,617488,0.31
7,Goldman Sachs Group ,79975,Financials,13,59,0.69,4,593895,0.15
8,Oracle ,165638,Information Technology,12,69.5,0.67,13.5,588485,0.17
9,Autodesk,12483,Information Technology,10,56,0.9,6.5,538850,0.3
10,Comcast ,153530,Consumer Discretionary,12,67.5,0.75,12,472774,0.08
11,Freeport-McMoRan ,13604,Materials,16,70.5,0.81,8.5,456651,0.13
12,Fidelity National Information Services,20533,Information Technology,11,66,0.45,6,453414,0.09
13,Perrigo Company ,23089,Health Care,11,64,0.73,12,441017,0.27
14,Wyndham Worldwide ,9445,Consumer Discretionary,7,66,0.71,9,431760,0.29
15,Gilead Sciences,162086,Health Care,10,70.5,0.9,10,429702,0.2
16,Alphabet ,498547,Information Technology,11,61,0.73,11,425216,0.27
17,Halliburton,32846,Energy,12,62.5,0.83,7.5,420876,0.17
18,American Airlines Group ,29133,Industrials,11,61,0.91,2,417467,0.09
19,Whole Foods Market,10721,Consumer Staples,11,62,0.73,10,405159,0.18
20,Reynolds American,69054,Consumer Staples,13,60,0.92,7,395431,0.15
21,SL Green Realty,11821,Financials,8,64,0.63,16,395000,0.13
22,ENSCO ,3915,Energy,9,63,0.56,7,393112,0.22
23,Chevron ,170897,Energy,12,62,0.92,5.5,393076,0.17
24,Facebook ,287305,Information Technology,8,46,0.63,4,390551,0.25
25,Biogen ,64755,Health Care,11,63,0.91,6,389134,0.27
26,Broadcom ,31302,Information Technology,9,63,0.78,7,385673,0.22
27,Occidental Petroleum ,56928,Energy,10,64,0.9,5,382609,0.2
28,EOG Resources ,47146,Energy,7,68,0.86,11,381332,0.14
29,Wynn Resorts,7102,Consumer Discretionary,7,70,0.86,12,372529,0
30,Allergan ,121575,Health Care,12,61,0.83,2,371001,0.17
31,Anadarko Petroleum ,33984,Energy,11,60,0.91,3,368419,0.09
32,Intuit,27018,Information Technology,9,61,0.67,8,367444,0.22
33,SanDisk ,15455,Information Technology,8,64,0.75,10,365873,0.13
34,Alexion Pharmaceuticals,39803,Health Care,10,62.5,0.8,3,364764,0.2
35,Qualcomm,93360,Information Technology,15,66,0.73,9,363517,0.2
36,Chesapeake Energy ,4744,Energy,10,62.5,0.9,2.5,361541,0.1
37,Exxon Mobil ,344980,Energy,12,65,0.92,5.5,360513,0.17
38,ConocoPhillips,65805,Energy,11,64,0.82,3,360054,0.18
